[06-Apr-2015 23:24:19 Europe/Berlin] PHP Fatal error:  Class 'Myfc\Facade\Crypt' not found in C:\xampp\htdocs\MyfcFramework\app\Route.php on line 10
[06-Apr-2015 23:24:42 Europe/Berlin] PHP Warning:  mcrypt_encrypt(): Module initialization failed in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 88
[06-Apr-2015 23:25:19 Europe/Berlin] PHP Warning:  mcrypt_encrypt(): Module initialization failed in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 89
[06-Apr-2015 23:25:22 Europe/Berlin] PHP Warning:  mcrypt_encrypt(): Module initialization failed in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 89
[06-Apr-2015 23:25:33 Europe/Berlin] PHP Warning:  mcrypt_encrypt(): Module initialization failed in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 89
[06-Apr-2015 23:25:33 Europe/Berlin] PHP Warning:  mcrypt_encrypt(): Module initialization failed in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 89
[06-Apr-2015 23:25:34 Europe/Berlin] PHP Warning:  mcrypt_encrypt(): Module initialization failed in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 89
[06-Apr-2015 23:25:34 Europe/Berlin] PHP Warning:  mcrypt_encrypt(): Module initialization failed in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 89
[06-Apr-2015 23:25:34 Europe/Berlin] PHP Warning:  mcrypt_encrypt(): Module initialization failed in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 89
[06-Apr-2015 23:25:44 Europe/Berlin] PHP Warning:  mcrypt_encrypt(): Module initialization failed in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 89
[06-Apr-2015 23:25:51 Europe/Berlin] PHP Warning:  mcrypt_encrypt(): Module initialization failed in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 89
[06-Apr-2015 23:28:29 Europe/Berlin] PHP Notice:  Undefined variable: base in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 72
[06-Apr-2015 23:28:49 Europe/Berlin] PHP Notice:  Undefined variable: base in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 72
[06-Apr-2015 23:28:49 Europe/Berlin] PHP Notice:  Undefined variable: base in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 72
[06-Apr-2015 23:28:50 Europe/Berlin] PHP Notice:  Undefined variable: base in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 72
[06-Apr-2015 23:50:01 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 203
[06-Apr-2015 23:50:36 Europe/Berlin] PHP Catchable fatal error:  Argument 1 passed to Myfc\Crypt::decrypt() must be of the type array, null given, called in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 168 and defined in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 205
[06-Apr-2015 23:50:54 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 240
[06-Apr-2015 23:51:15 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 239
[06-Apr-2015 23:51:39 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 239
[06-Apr-2015 23:52:02 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 241
[06-Apr-2015 23:52:30 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 242
[06-Apr-2015 23:53:11 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 241
[06-Apr-2015 23:53:54 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 242
[06-Apr-2015 23:54:08 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 242
[06-Apr-2015 23:54:09 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 242
[06-Apr-2015 23:54:09 Europe/Berlin] PHP Warning:  hex2bin(): Input string must be hexadecimal string in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 242
[06-Apr-2015 23:54:26 Europe/Berlin] PHP Notice:  Undefined index: value in C:\xampp\htdocs\MyfcFramework\vendor\framework\Myfc\Crypt\Crypt.php on line 209
